sensor_index,last_modified,date_created,last_seen,location_type,rssi,uptime,latency,latitude,longitude,altitude
11356,1539409467,1527553826,1708525392,0,-79,23037,9213,45.94727,-92.30557,983
11566,1562195906,1528146377,1708525431,0,-67,4526,334,43.24827,-79.82691,297
11838,1550500969,1528840883,1708525470,1,-48,58571,441,39.996513,-83.01782,727
11840,1551395458,1528840933,1708525485,1,-49,48922,403,39.996437,-83.01818,727
11910,1624544707,1528928645,1708525436,0,-57,5373,468,34.751293,-92.42449,554
12575,1535218211,1530819396,1708525462,0,-69,12981,220,39.745815,-86.14421,726
12577,1535139988,1530819410,1708525421,0,-67,31750,241,39.757633,-86.1404,728
12587,1583776248,1530898638,1708525440,0,-78,66052,503,39.84677,-86.16557,715
12647,1540671081,1530908872,1708525461,0,-51,28252,250,39.784325,-86.11501,768
12689,1560045345,1531172032,1708525375,0,-68,31961,213,36.24867,-81.273476,1356
12697,1706823400,1531172083,1708525420,0,-75,4652,309,36.050777,-80.14643,922
12759,1539281253,1531258886,1708525426,0,-73,47013,309,36.130077,-79.83469,869
12835,1559244876,1531329320,1708525396,0,-69,58947,259,35.527523,-81.03457,878
12867,1531528594,1531334578,1708525414,0,-61,19278,217,35.03867,-80.83838,685
12959,1595975477,1531422258,1708525411,0,-68,42736,326,41.484917,-81.70841,682
12969,1532134007,1531422346,1708525486,0,-67,28610,283,32.991665,-96.85915,612
12985,1555352782,1531427735,1708525404,0,-79,8311,358,40.082348,-80.01803,1111
12999,1533250132,1531427821,1708525487,0,-70,15380,278,36.37261,-86.840126,746
13031,1533066153,1531432767,1708525470,0,-71,37130,260,37.94211,-87.89055,391
14009,1568315759,1533250446,1708525442,1,-43,30708,309,40.31308,-79.7292,1194
14095,1536863806,1533328267,1708525473,0,-71,56950,680,42.879284,-83.32571,1157
14111,1705612823,1533333089,1708525452,0,-70,8137,251,40.147556,-83.00999,949
14549,1681479355,1534272132,1708525375,0,-80,3769,466,35.04535,-85.30672,689
14555,1681479330,1534272174,1708525464,0,-72,15823,263,35.045963,-85.30474,733
14561,1681479179,1534272273,1708525374,0,-65,58268,237,35.042393,-85.29873,684
14911,1536449407,1536084919,1708525421,1,-48,13958,356,29.546415,-98.554,880
15025,1536446788,1536174061,1708525419,0,-63,13958,366,29.546413,-98.55403,880
15197,1656226815,1536600238,1708525439,0,-53,28364,264,41.578606,-90.465965,701
15919,1538858447,1537551010,1708525425,0,-73,35831,255,36.375168,-86.59826,571
16271,1635954497,1537884569,1708525436,0,-63,3557,359,32.882004,-97.08413,605
16289,1606850695,1537884690,1708525455,0,-62,6265,3106,29.954208,-89.98874,0
16317,1559141657,1537903420,1708525444,0,-82,12793,999,27.290497,-82.5083,25
16359,1606850897,1537904249,1708525403,0,-77,65830,2784,30.288101,-89.74581,16
16363,1606850965,1537984573,1708525410,0,-77,18335,2895,29.570116,-90.68799,7
16383,1606851856,1537984761,1708525375,0,-72,68270,2795,30.072504,-90.51475,12
16385,1606850808,1537984770,1708525418,0,-75,42292,2437,30.552189,-91.03447,61
16391,1606850645,1537984819,1708525439,0,-62,69326,2276,29.873653,-90.08989,5
16431,1687645461,1537994216,1708525425,0,-84,2546,2888,43.095444,-89.336945,850
16437,1575663263,1537994344,1708525480,0,-95,1032,943,43.096737,-89.343155,859
16439,1610039574,1537994381,1708525475,0,-84,52770,384,43.095272,-89.341934,872
17087,1641512597,1538518722,1708525466,0,-50,23472,265,30.163092,-85.75396,18
17133,1550863376,1538589193,1708525375,0,-86,2970,273,39.42028,-82.93225,826
17151,1561725567,1538589743,1708525456,0,-81,1437,12931,39.33517,-82.978195,634
17275,1540497290,1538684730,1708525378,0,-67,20110,580,43.198536,-82.546326,665
18155,1662044766,1540851857,1708525387,1,-62,62812,193,33.475433,-86.781364,796
18387,1542573502,1541178194,1708525457,0,-43,17500,281,30.504679,-98.217094,934
18499,1689886252,1541272524,1708016311,0,-61,4,2009,25.760427,-80.37699,1
18585,1631653424,1541527744,1708525380,0,-76,54602,232,35.929153,-94.96466,871
19117,1612027215,1542226029,1708525417,1,-78,55476,256,42.06865,-87.94134,675
19699,1543017285,1542655094,1708525457,0,-61,46597,260,36.124493,-97.04415,934
20059,1685623959,1543343868,1708525397,1,-69,42746,262,43.47776,-79.63098,279
20213,1544799726,1543438689,1708525379,0,-60,58245,283,28.01654,-82.70634,44
20507,1585238543,1543600107,1708525474,0,-75,21213,394,29.928965,-90.084694,5
20511,1686171274,1543600135,1708525446,0,-78,70557,240,40.509586,-79.8661,1019
20521,1558727467,1543616598,1708525429,0,-74,2668,273,35.277683,-80.71496,759
20531,1622925624,1543616647,1708525380,0,-75,7276,302,41.109455,-88.14626,620
20809,1551024591,1544050728,1708525419,0,-88,31383,443,35.194134,-80.823494,669
21179,1544473241,1544471539,1708525469,0,-71,22301,297,44.965965,-93.284615,891
21247,1689018048,1544492168,1708525476,0,-77,4216,286,35.371716,-82.51733,2176
21289,1670933447,1544500456,1708525457,0,-75,65997,224,33.963406,-84.3429,1025
21307,1545528227,1544500539,1708525427,1,-61,18036,368,41.449047,-81.92646,716
21339,1545511133,1544501254,1708525369,0,-73,57647,282,30.671389,-95.53861,421
21345,1551320511,1544502126,1708525448,0,-60,35092,271,36.4621,-94.201675,1231
21483,1544991797,1544562196,1708525481,0,-58,5749,366,30.572351,-97.94825,930
21653,1559867021,1544583409,1708525477,0,-76,19021,339,44.29801,-91.17275,880
22651,1593305713,1544909329,1708525377,0,-67,9725,235,30.141853,-97.850235,699
22771,1545754825,1544916501,1708525397,0,-69,10622,358,44.901127,-93.594376,993
22851,1545432128,1545077132,1708525488,1,-63,14960,227,40.2467,-80.18944,1180
22937,1638287826,1545155021,1708525403,0,-62,29786,366,41.530098,-90.5878,706
23251,1545682096,1545250749,1708525439,0,-74,5354,387,34.615326,-92.433,430
23355,1546909600,1545257203,1708525418,0,-82,37781,195,33.817436,-84.35494,878
23433,1545682043,1545259793,1708525413,1,-41,5352,404,34.615326,-92.433,430
23533,1678546525,1545929787,1708525416,0,-55,19351,271,40.43943,-79.7487,1163
23538,1635430953,1545929862,1708525410,0,-66,9129,588,40.233276,-79.619965,1051
23955,1547137328,1546297653,1708525409,0,-63,57740,334,39.658043,-86.84622,742
23989,1562026026,1546559398,1708525464,0,-57,43405,283,45.112064,-93.27751,863
24105,1566249287,1546987037,1708525411,1,-58,17291,585,38.95321,-94.49076,955
24245,1548722193,1547069201,1708525482,0,-46,10454,293,26.240831,-80.09775,6
24269,1547684661,1547069265,1708525464,0,-69,60733,302,33.51593,-101.94548,3299
24295,1577412088,1547074538,1708305427,0,-72,1,null,34.120235,-88.04533,591
24415,1558734161,1547228449,1708525383,0,-65,20894,289,25.727991,-100.227165,1538
24939,1568144188,1547665137,1708525456,1,-81,8075,2618,40.29814,-79.88526,767
25019,1631492758,1547678646,1708525416,1,-57,27375,467,35.61342,-82.53582,2652
25135,1556124176,1547754974,1708525401,1,-71,71158,329,42.320812,-83.09825,598
25383,1597086341,1547828675,1708525468,0,-76,6982,255,40.44193,-79.92948,1093
25389,1567807955,1547828689,1708525470,0,-70,27350,234,40.446,-79.908615,988
25687,1615266222,1548358071,1708525404,1,-52,3017,1916,40.42579,-79.9113,872
25703,1568144598,1548358152,1708525448,1,-66,20318,267,40.29812,-79.88423,780
25743,1561826007,1548450981,1708525394,0,-63,7331,311,32.54484,-92.00411,79
25767,1557265096,1548451081,1708524425,0,-90,12,null,38.2074,-85.550156,684
25831,1606849594,1548459574,1708525474,0,-75,9076,1910,29.639612,-90.5365,2
25835,1604428679,1548459580,1708525402,0,-59,29788,465,41.530087,-90.58771,705
25865,1565290261,1548459666,1708525409,0,-54,29491,272,40.516006,-79.93311,1135
